battery_health,cpu,created_at,disks,full_charge_capacity,graphicscard,manufacturer,model,operatingsystem,ram_gb,serialnumber,systemsku,touchscreen
96.8,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-02-18T15:45:00,256GB,49380,Intel(R) UHD Graphics [1920x1080],LENOVO,20UAS7VM00,Microsoft Windows 11 Pro 10.0.26100,16,PF22LSQG,LENOVO_MT_20UA_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Yes Detected
99.96,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-02-18T15:41:00,256GB,50990,Intel(R) UHD Graphics [1920x1080],LENOVO,20UAS7VM00,Microsoft Windows 11 Pro 10.0.26100,16,PF2JWGRP,LENOVO_MT_20UA_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Yes Detected
96.65,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-02-18T15:35:00,256GB,49300,Intel(R) UHD Graphics [1920x1080],LENOVO,20UAS7VM00,Microsoft Windows 11 Pro 10.0.26100,16,PF2JWQBH,LENOVO_MT_20UA_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Yes Detected
88.49,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-02-18T15:27:00,256GB,45140,Intel(R) UHD Graphics [1920x1080],LENOVO,20UAS7VM00,Microsoft Windows 11 Pro 10.0.26100,16,PF2GAKAM,LENOVO_MT_20UA_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Yes Detected
92.53,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-02-18T15:20:00,256GB,47200,Microsoft Basic Display Adapter [1920x1080],LENOVO,20UAS7VM00,Microsoft Windows 11 Pro 10.0.26100,16,PF2JWKPF,LENOVO_MT_20UA_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Yes Detected
92.41,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz (4C/8T),2025-02-18T15:10:00,256GB,47140,Microsoft Basic Display Adapter [1920x1080],LENOVO,20UAS7VM00,Microsoft Windows 11 Pro 10.0.26100,16,PF2GCAV5,LENOVO_MT_20UA_BU_Think_FM_ThinkPad X1 Carbon Gen 8,Yes Detected
89.69,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (4C/8T),2025-02-18T14:21:00,256GB,45250,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20N3S59H00,Microsoft Windows 11 Pro 10.0.26100,16,PF21TX9Z,LENOVO_MT_20N3_BU_Think_FM_ThinkPad T490,Not Detected
100,Intel(R) Core(TM) i7-9850H CPU @ 2.60GHz (6C/12T),2025-02-18T14:08:00,1TB,82080,Intel(R) UHD Graphics 630 [3840x2160]; NVIDIA Quadro RTX 5000 [Not Active],Dell Inc.,Precision 7740,Microsoft Windows 11 Pro 10.0.26100,64,57MQQ23,0927,Not Detected
81.81,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2025-02-18T13:26:00,256GB,46650,Intel(R) UHD Graphics 620 [2560x1440],LENOVO,20L7001YUS,Microsoft Windows 11 Pro 10.0.26100,16,PC14A79G,LENOVO_MT_20L7_BU_Think_FM_ThinkPad T480s,Not Detected
91.35,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T13:21:00,512GB,46590,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF33MNFJ,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
74.93,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2025-02-18T13:20:00,256GB,42710,Intel(R) UHD Graphics 620 [2560x1440],LENOVO,20L7001YUS,Microsoft Windows 11 Pro 10.0.26100,16,PC110X92,LENOVO_MT_20L7_BU_Think_FM_ThinkPad T480s,Not Detected
83.14,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz (4C/8T),2025-02-18T13:01:00,256GB,47390,Intel(R) UHD Graphics 620 [1920x1080],LENOVO,20L70025US,Microsoft Windows 11 Pro 10.0.26100,16,PC0WKCY6,LENOVO_MT_20L7_BU_Think_FM_ThinkPad T480s,Not Detected
87.76,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T12:49:00,512GB,44760,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF2RDTDK,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
101.94,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T12:28:00,512GB,51480,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF32PVZ6,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
88.63,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T12:23:00,512GB,45200,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF2RDE6H,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
88.22,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T11:59:00,512GB,44990,AMD Radeon(TM) Graphics [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF33MGKD,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
92.71,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T11:57:00,512GB,47280,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF2RDVXZ,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
87.65,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T11:51:00,512GB,44700,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF2RCVHN,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
69.86,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T11:46:00,512GB,35630,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF2RCVCW,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
88.55,AMD Ryzen 5 PRO 5650U with Radeon Graphics (6C/12T),2025-02-18T11:43:00,512GB,45160,Microsoft Basic Display Adapter [1920x1080],LENOVO,20XLS05M00,Microsoft Windows 11 Pro 10.0.26100,16,PF31XQTZ,LENOVO_MT_20XL_BU_Think_FM_ThinkPad T14 Gen 2a,Yes Detected
